funding_address,btc_inflow_attributed,n_events,first_seen,last_seen,we_cluster_id,we_cluster_display,we_cluster_named
19wgd7o7WMjzYgv4MRDLbH6Y9x1VmLL87k,232.55625519,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1PHwp3FMNDGPDUQ1tNqy3GxNq72KZQhmhP,230.83253188,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
14Bv4vTVKpNeSmz3xckXo6SPJvEvfL4wmM,169.82820125,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1NECMk1YgpSFoMCgGrMSbmSNPRkpGAF5KG,160.47824342,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1FW69zpi9dTmGqsLRHEAd88aZNSXgG2zXC,142.09683643,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1LcCpMTDyL7Zeeyz1cp5wksVkQjoK1Ktjo,134.25578101,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1H5XEKYWx2b6nw2TmPnjsG4Qc4tHsY6aDe,115.12581206,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
19vyoECQx51fbzAKQNWLMqsePE4ZTiC13e,101.36471718,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1DcBT1BuadWXwZ19uy34dmjcMLqVcdHjKu,99.99673134,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
19nZZMaebarLpBRq832fsbYAnH38126H8H,95.68741141,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
12p9YkdPUE29SA6C3tTv3iyUB4cTGLTjuJ,92.1072059,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1DYw66NjjT12ousWFW1M1MLeSY8NeLSSfT,85.40146458,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
125zqtGE899ECygr9BEx2wBqnHwNTwkQ3P,81.62934538,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1ANWb4677Rps3yMxVWGakhnU5NWyWFQfMv,70.0483317,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1Ae5pqhAK9NuChQpfFtY2YGVQLeVgc3hH1,67.81413382,1,2016-03-06,2016-03-06,,not-probed,not-probed
1Fk38gudGhgc6P5LrrMTtEpaHfAoMurySU,67.77893442,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1P6PRCgze2vo3SiHJBdgwf6vHdGw95cbxX,67.63833684,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
16WpiyFuibmWZdS2xQGpFLiPgg6zGrCn8T,66.93068354,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
1KwHaaogerRksBazqkQMZKcgod6RZCAoR8,65.82346805,1,2016-03-06,2016-03-06,033a676d6f50f05c,[033a676d6f],no
