counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x0000000000000000000000000000000000000000,1,0,0.0,0.0,0.0,ZND,ZND:7.0E8,2024-10-18,2024-10-18,etherscan,Null: 0x000...000
0x18bf7f1cf41f840a7cb21618d5d1c1af7ca3e908,0,7,0.0,0.0,0.0,ZND,ZND:8.81559E6,2024-11-30,2026-03-31,below-cutoff,
0x344b16fe768582f69205897d240e2971b3ac0c09,0,12,0.0,0.0,0.0,ZND,ZND:5.6E7,2024-10-21,2025-04-28,below-cutoff,
0x36fdb8800968fb8b38d53ebce3c86f909c796372,0,26,0.0,0.0,0.0,ZND,ZND:5.686177E7,2024-10-18,2026-03-31,below-cutoff,
0x3ce0935e2f28339d6f9f1068356a90bf6d3173e3,0,24,0.0,0.0,0.0,ZND,ZND:6.3E6,2024-10-21,2025-08-14,below-cutoff,
0x41c31f690873ec5a642dd374e2f2dd1528d05730,0,3,0.0,0.0,0.0,ZND,ZND:6.7765207486E4,2024-12-17,2025-03-21,internal,ZND special account
0x4c5e31774b09cf489c482a472bb78ae8c024c701,0,24,0.0,0.0,0.0,ZND,ZND:5.6E6,2024-10-21,2025-08-14,below-cutoff,
0x51c9a7324ced2d8c783c44eecafb00c1518ad849,1,0,0.0,0.0,0.0,kitties,kitties:2.7311094483057E7,2026-01-12,2026-01-12,below-cutoff,
0x53423085f352a12f0b4c51e00c512e130ae02b38,0,18,0.0,0.0,0.0,ZND,ZND:3.64E7,2024-10-21,2026-03-31,below-cutoff,
0x552002ec9504f3931019d63a8d992c98fcdf1eb7,0,30,0.0,0.0,0.0,ZND,ZND:8.33E7,2024-10-21,2026-02-20,below-cutoff,
0x6357d3843d715496257e338a878ab0b72040a918,1,0,0.0,0.0,0.0,HEX,HEX:1.0E0,2026-04-05,2026-04-05,below-cutoff,
0x719d74be74980f94b2b9ee670f94f540661f9f66,0,33,0.0,0.0,0.0,ZND,ZND:7.0E6,2024-10-21,2025-11-13,below-cutoff,
0x9a9fb1d7b263939ef7de83d5f69956b111f9a706,1,0,0.0,0.0,0.0,1,1:2.9884021195027E7,2026-01-03,2026-01-03,below-cutoff,
0x9ff1299f5abea9ff1789c86e1c972ac1b3a8d38d,0,20,0.0,0.0,0.0,ZND,ZND:6.3E6,2024-10-21,2025-06-16,below-cutoff,
0xae0a2dbdfdc0b9d1132b52796d5fcc9a19bd5dc3,0,1,0.0,0.0,0.0,ZND,ZND:5.6E6,2024-10-21,2024-10-21,below-cutoff,
0xae4f32dfa85b9e8c424a9604e7bf1d8128859943,29,61,0.0,0.0,0.0,ZND,ZND:1.79214579107024E8;ZND:3.20670682384848E8,2024-10-24,2026-03-20,internal,ZND platform
0xaf3bf534d2b026b9c72cb6fb30a5f7f879a6f4f1,0,1,0.0,0.0,0.0,ZND,ZND:1.4E3,2024-10-21,2024-10-21,below-cutoff,
0xc5d2d690d683c6f7bb654e91fed293caec2a26b5,0,31,0.0,0.0,0.0,ZND,ZND:2.7200897E7,2024-10-21,2026-03-31,below-cutoff,
0xca4bde17f2a29fd041665cee2d206bc5c2ae507f,0,16,0.0,0.0,0.0,ZND,ZND:6.3E6,2024-10-21,2025-04-22,below-cutoff,
0xf70fdf0b14d8d9b4bac7ff549f0cabc987c1e01c,1,0,0.0,0.0,0.0,BABYUNO,BABYUNO:4.7989365156504E7,2025-03-12,2025-03-12,below-cutoff,
0xfdf5b0d1cd40223ef91027ce014cb4a31ac4ecf2,0,28,0.0,0.0,0.0,ZND,ZND:2.0625240230338E7,2024-10-21,2026-03-31,below-cutoff,
