counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,93,141,46327065.42,60917005.06,-14589939.64,"USDC,SKY,MKR,ETH,USDT,FET,POL,OCEAN,RNDR,CHZ,MATIC",,2023-10-25,2026-03-25,internal,Zonda 5
0x0000000000000000000000000000000000000000,207,0,43052799.11,0.0,43052799.11,USDC,,2025-04-01,2026-01-14,etherscan,Null: 0x000...000
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,61,31,13479781.09,6304647.07,7175134.02,USDT,,2024-04-15,2025-06-30,etherscan,Polygon (Matic): ERC20 Bridge
0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,0,59,0.0,15946849.09,-15946849.09,ETH,,2024-08-02,2025-11-26,etherscan,Arbitrum: Delayed Inbox
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,1,77,199.47,11447691.31,-11447491.84,ETH,,2025-06-02,2025-10-29,etherscan,Optimism: Gateway
0x5307402e7c38cdbfd9a8bc7e9c68669faf29bbad,0,10,0.0,4559405.95,-4559405.95,USDT,,2024-07-12,2025-04-07,below-cutoff,
0xc4922d64a24675e16e1586e3e3aa56c06fabe907,0,31,0.0,4159674.1,-4159674.1,USDC,,2024-04-13,2025-08-30,etherscan,Circle: Token Minter
0xead6595703fa97174e67d86998ecab7994ae880d,6,0,4110063.12,0.0,4110063.12,"USDC,USDT",,2024-07-17,2025-06-02,below-cutoff,
0x401f6c983ea34274ec46f84d70b31c151321188b,3,22,415793.74,2205834.41,-1790040.67,"POL,MATIC",,2023-10-30,2024-09-26,etherscan,Polygon (Matic): Plasma Bridge
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0,8,0.0,2028334.72,-2028334.72,ETH,,2025-08-08,2025-08-11,etherscan,LI.FI: LiFi Diamond
0x781229c7a798c33ec788520a6bbe12a79ed657fc,1,0,1207504.79,0.0,1207504.79,ETH,,2025-08-22,2025-08-22,internal,Zonda 2
0x1646a4761aa54f23d7f4d5deb5d393f67d318b80,0,10,0.0,999213.61,-999213.61,"ETH,USDT",,2024-12-20,2024-12-27,below-cutoff,
0x67a3512401e418aa3121088ba33fe20db5e7080f,12,10,354743.02,352327.09,2415.93,"ETH,MKR,SKY",,2025-09-05,2025-09-16,below-cutoff,
0x3ee18b2214aff97000d974cf647e7c347e8fa585,0,6,0.0,513794.82,-513794.82,RNDR,,2024-07-29,2024-08-03,etherscan,Wormhole: Token Bridge
0x5bff49eec8f76c066f979a818187b9732ac69503,1,0,500662.2,0.0,500662.2,USDT,,2024-09-18,2024-09-18,internal,Deposit Funder 1
0x664d2f142cbc89ee9ed20c8e4eeb66c63b9ce663,5,0,137834.09,0.0,137834.09,FET,,2024-07-02,2024-07-02,below-cutoff,
0x000000000000000000000000000000000000dead,0,5,0.0,136681.77,-136681.77,OCEAN,,2024-07-02,2024-07-02,etherscan,Null: 0x00...dEaD
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,1,0,50891.07,0.0,50891.07,ETH,,2025-05-31,2025-05-31,etherscan,Arbitrum: Bridge
0x29e7df7b6a1b2b07b731457f499e1696c60e2c4e,4,4,10180.48,9649.01,531.47,"MATIC,POL",,2024-09-25,2024-09-25,etherscan,Polygon: POL Migrator
0x436a22ed5fda7e071b3f83f08bdc7f4779024349,0,1,0.0,1050.33,-1050.33,USDC,,2026-02-06,2026-02-06,below-cutoff,
0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,0,1,0.0,812.42,-812.42,ETH,,2025-04-22,2025-04-22,below-cutoff,
0xc6d6c7c7fea0977174d0f0e7ea89b4dc185d62c2,2,0,398.94,0.0,398.94,"OCEAN,ETH",,2024-07-02,2024-07-02,below-cutoff,
