counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x896088463f9660410f10c52e002ac1e274920b0d,0,23,0.0,1247031.05,-1247031.05,"USDT,USDC,ZND,ETH",,2024-12-30,2025-12-12,below-cutoff,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,19,0,1036406.65,0.0,1036406.65,USDT,,2025-03-04,2025-09-09,hildobby,Gate.io 1
0x6edf968da408a9640b8865826429a977a11c5048,41,0,1006934.0,0.0,1006934.0,"ETH,USDT,USDC,ZND",,2025-01-23,2025-12-11,internal,Zonda 5
0x2657e8a1caa3cfc3c7bb8d5df04fbd88e81c7ae6,0,1,0.0,422665.59,-422665.59,USDC,,2025-04-01,2025-04-01,below-cutoff,
0x39c89eb84fc45dab40bd4d3b273492d64c52f8ca,0,39,0.0,351468.11,-351468.11,"USDC,ZND,ETH,USDT",,2025-02-26,2025-12-10,etherscan,Gate Deposit: 0x39c89eb84fc45dab40bd4d3b273492d64c52f8ca
0xd91efec7e42f80156d1d9f660a69847188950747,6,0,146402.8,0.0,146402.8,USDT,,2025-04-02,2025-05-02,hildobby,KuCoin 26
0xd089de0fc339511ea2b6cfdbd0d596f7bba32f21,0,6,0.0,79828.7,-79828.7,USDC,,2025-03-27,2025-09-09,below-cutoff,
0x427946418a0a0fa0266d62d934100204eb2768d7,0,5,0.0,61123.15,-61123.15,"USDC,USDT",,2025-02-05,2025-09-28,below-cutoff,
0x4b9094cc7fb251c36fc3fc86c89a4e7351d7736c,0,6,0.0,54922.67,-54922.67,USDT,,2025-05-02,2025-12-02,below-cutoff,
0x533671f6a2e1c20e77af941691790bad3cd3fb9c,5,0,53107.23,0.0,53107.23,USDT,,2025-05-06,2025-09-01,below-cutoff,
0x83c41363cbee0081dab75cb841fa24f3db46627e,1,0,42962.19,0.0,42962.19,USDT,,2025-04-13,2025-04-13,hildobby,KuCoin 36
