counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,186,0.00,11295199.26,-11295199.26,CHZ/ETH/GRT/LINK/LPT/MATIC/RNDR/SHIB/USDT,CHZ:445000.0000;ETH:1819.8876;GRT:560000.0000;LINK:26200.0000;LPT:3330.9789;MATIC:739118.0818;RNDR:13600.0000;SHIB:15162205338.2500;USDT:7052488.0049,2022-11-02,2026-03-26,internal,Zonda 5
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,45,0,7058468.93,0.00,7058468.93,USDT,USDT:7052488.0049,2022-11-15,2023-05-30,hildobby,Kraken 7
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,17,0,2876602.16,0.00,2876602.16,ETH,ETH:1820.0000,2022-11-08,2023-05-26,hildobby,Kraken 4
0xa83b11093c858c86321fbc4c20fe82cdbd58e09e,54,0,831062.20,0.00,831062.20,MATIC,MATIC:739118.0818,2023-01-27,2023-05-30,hildobby,Kraken 14
0xc6bed363b30df7f35b601a5547fe56cd31ec63da,23,0,182273.33,0.00,182273.33,LINK,LINK:26200.0000,2022-11-07,2023-04-26,hildobby,Kraken 8
0x6d0cf1f651f5ae585d24dcaa188d44e389e93d26,27,0,165625.59,0.00,165625.59,SHIB,SHIB:15162205338.2500,2022-11-02,2023-05-09,hildobby,Kraken 55
0xf7cd385cb9a442358b892b14301f6310e57cc5c9,9,0,76082.43,0.00,76082.43,GRT,GRT:560000.0000,2023-03-06,2023-05-15,hildobby,Kraken 66
0xcdc8488e63a403bfd580222ea0f3719477bfea9c,8,0,55087.83,0.00,55087.83,CHZ,CHZ:445000.0000,2023-03-28,2023-05-15,hildobby,Kraken 40
0xe0bb449bb115dbc335aa1ed348b30fffa666c37a,2,0,25079.74,0.00,25079.74,LPT,LPT:3330.9789,2023-03-06,2024-07-09,hildobby,Kraken 73
0xea578aae84b156010b5df7759a08cf6e6d6fc288,3,0,24663.33,0.00,24663.33,RNDR,RNDR:13600.0000,2023-04-19,2023-05-08,hildobby,Kraken 65
0x818ab3c61f66e975b8e6290c20999d6749f60d8d,9,0,186.12,0.00,186.12,ETH,ETH:0.1103,2022-11-02,2023-05-16,internal,Zonda Deposit Funder 2
0x5bff49eec8f76c066f979a818187b9732ac69503,1,0,0.66,0.00,0.66,ETH,ETH:0.0002,2024-07-09,2024-07-09,internal,Zonda Deposit Funder 1
0x6ed48c1094307edf7f213480ba464a68d6295048,0,1,0.00,0.00,0.00,USDT,USDT:0.0000,2023-02-13,2023-02-13,below-cutoff,
0x6db6eb7e327918fe8d2e1dab15ae102c231c5048,0,2,0.00,0.00,0.00,USDT,USDT:0.0000,2023-01-04,2023-01-16,below-cutoff,
0x6edbdcc54bc24e8bdbfa68d28729155491ec5048,0,2,0.00,0.00,0.00,USDT,USDT:0.0000,2023-01-04,2023-01-16,below-cutoff,
0x6eb9ee74064f8e7b36f6f941c0b57a74a36c5048,0,1,0.00,0.00,0.00,USDT,USDT:0.0000,2022-12-02,2022-12-02,below-cutoff,
0x6ed4523586859254d4663bf7524cbebe57ec5048,0,1,0.00,0.00,0.00,USDT,USDT:0.0000,2023-02-13,2023-02-13,below-cutoff,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,0,0.00,0.00,0.00,Visit https://usdrewards.org to,Visit https://usdrewards.org to:3999.9900,2023-09-05,2023-09-05,below-cutoff,
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,1,0,0.00,0.00,0.00,$ Visit NFTGiftX.com to claim,$ Visit NFTGiftX.com to claim:4000.0000,2022-11-23,2022-11-23,hildobby,OKX 1
