counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,1,2838,27.79,16968056.36,-16968028.57,AAVE/AMLT/ATRI/AXS/CHZ/COMP/DAI/ENJ/ETH/FET/GAME/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/OMG/PAY/PEPE/PUNDIX/QNT/REEF/RNDR/SAND/SHIB/SUSHI/SXP/UNI/USDC/USDT/WLD/ZND/ZRX,AAVE:1751.8666;AMLT:6026407.8074;ATRI:34032101.0000;AXS:31106.0981;CHZ:4848484.7923;COMP:4450.6830;DAI:226535.4255;ENJ:325282.2581;ETH:0.0150;FET:644205.4953;GAME:27802273.2222;GRT:1389203.1356;KNC:59420.7272;LINK:43915.9847;LPT:7140.5320;LSK:1412231.1919;MANA:817325.1692;MATIC:245008.9497;MKR:282.2947;OCEAN:33747.8690;OMG:187649.6075;PAY:5176952.5500;PEPE:85720570956.1120;PUNDIX:38698.9027;QNT:253.5508;REEF:2145033.3199;RNDR:497.3500;SAND:194047.7531;SHIB:4148635011.1150;SUSHI:228646.5558;SXP:36728.9023;UNI:24938.6543;USDC:1878982.8326;USDT:2851587.2013;WLD:156082.2330;ZND:8295470.3021;ZRX:132808.6474,2021-04-13,2026-04-03,internal,Zonda 5
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1100,0,3662794.47,0.00,3662794.47,AAVE/AXS/CHZ/COMP/DAI/ENJ/FET/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/PEPE/PUNDIX/QNT/REEF/SAND/SHIB/SUSHI/SXP/UNI/USDC/USDT/WLD/ZRX,AAVE:191.7945;AXS:5841.9815;CHZ:1515284.6374;COMP:1239.9301;DAI:26674.9409;ENJ:55016.6548;FET:189417.7793;GRT:317865.7978;KNC:25568.4854;LINK:12530.3710;LPT:3290.1173;LSK:399108.7122;MANA:208627.2492;MATIC:84905.8109;MKR:75.8156;OCEAN:11348.8695;PEPE:28989470407.9300;PUNDIX:11676.7000;QNT:141.9584;REEF:217357.4199;SAND:41986.1669;SHIB:1625809490.1200;SUSHI:50141.1605;SXP:13506.9929;UNI:3994.1389;USDC:738412.4450;USDT:741379.5704;WLD:42055.1983;ZRX:47892.3238,2021-05-28,2026-03-08,hildobby,Binance 16
0x21a31ee1afc51d94c2efccaa2092ad1028285549,1097,0,3454169.98,0.00,3454169.98,AAVE/AXS/CHZ/COMP/DAI/ENJ/FET/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/PEPE/PUNDIX/QNT/REEF/SAND/SHIB/SUSHI/SXP/UNI/USDC/USDT/WLD/ZRX,AAVE:193.4072;AXS:9824.6294;CHZ:1298946.5085;COMP:1090.2578;DAI:19870.6754;ENJ:71326.7620;FET:181320.7647;GRT:410208.8032;KNC:15290.2854;LINK:14067.0099;LPT:1489.9616;LSK:512149.6143;MANA:150273.9234;MATIC:88593.4434;MKR:105.6818;OCEAN:13902.1600;PEPE:30231800196.9800;PUNDIX:15493.3819;QNT:18.2610;REEF:1000888.0000;SAND:98372.4038;SHIB:910591150.9900;SUSHI:84196.8976;SXP:6751.0000;UNI:3012.3491;USDC:562924.2035;USDT:553804.4139;WLD:40857.7637;ZRX:37480.6680,2021-05-21,2026-03-13,hildobby,Binance 15
0x28c6c06298d514db089934071355e5743bf21d60,1191,0,3097519.33,0.00,3097519.33,AAVE/AXS/CHZ/COMP/DAI/ENJ/FET/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/PEPE/PUNDIX/QNT/REEF/RNDR/SAND/SHIB/SUSHI/SXP/UNI/USDC/USDT/WLD/ZRX,AAVE:236.8097;AXS:14885.2872;CHZ:1572721.3826;COMP:1278.6459;DAI:53193.8338;ENJ:80851.8736;FET:242115.0682;GRT:330409.6882;KNC:18561.9564;LINK:14816.4003;LPT:2360.4531;LSK:500972.8654;MANA:182057.6917;MATIC:71509.6954;MKR:99.0231;OCEAN:8496.8395;PEPE:12342324794.8900;PUNDIX:11528.8208;QNT:66.9814;REEF:926787.9000;RNDR:497.3500;SAND:53689.1824;SHIB:1370597822.3300;SUSHI:59442.0922;SXP:7640.1000;UNI:5185.1739;USDC:428105.1781;USDT:371353.4873;WLD:73169.2710;ZRX:46037.6556,2021-05-17,2026-03-13,hildobby,Binance 14
0xf12c4cb357e2c22a3c78fafb5382a223098fbaae,131,0,1513079.82,0.00,1513079.82,AMLT/ATRI/GAME/MKR/SXP,AMLT:6026407.8074;ATRI:34032101.0000;GAME:2135381.2884;MKR:1.7742;SXP:7692.4725,2021-11-24,2023-11-22,deferred-above-cutoff,
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,211,0,806424.64,0.00,806424.64,AAVE/COMP/DAI/GRT/MANA/SUSHI/UNI,AAVE:112.5824;COMP:159.6689;DAI:15917.5730;GRT:317590.1995;MANA:29945.1000;SUSHI:4480.1725;UNI:1150.4165,2021-03-31,2021-05-23,hildobby,Binance 1
0xf89d7b9c864f589bbf53a82105107622b35eaa40,191,0,553540.75,0.00,553540.75,AAVE/AXS/COMP/ENJ/FET/LINK/OMG/PEPE/SHIB/USDC/USDT,AAVE:16.0422;AXS:554.2000;COMP:27.6263;ENJ:118086.9677;FET:31351.8831;LINK:2142.6382;OMG:187649.6075;PEPE:14156975556.3120;SHIB:241636547.6750;USDC:22623.4950;USDT:141071.2498,2024-01-17,2025-06-06,hildobby,Bybit 5
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,45,0,549172.83,0.00,549172.83,USDT,USDT:548733.4578,2022-03-29,2024-04-05,hildobby,Binance 17
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,354,0,482830.61,0.00,482830.61,ATRI/GAME/GNYerc20/MANA/PAY/QNT/USDT/ZRX,ATRI:146207.0000;GAME:25666891.9338;GNYerc20:7522.3452;MANA:10042.6423;PAY:5176952.5500;QNT:26.3500;USDT:9089.7032;ZRX:1398.0000,2022-02-04,2023-12-04,hildobby,Bittrex 1
0x9696f59e4d72e237be84ffd425dcad154bf96976,33,0,478595.11,0.00,478595.11,USDT,USDT:478171.0604,2022-03-29,2024-04-05,hildobby,Binance 18
0x85b931a32a0725be14285b66f1a22178c672d69b,92,0,456443.93,0.00,456443.93,AAVE/COMP/DAI/GRT/MANA/SUSHI/UNI,AAVE:253.3250;COMP:125.9305;DAI:14603.8634;GRT:4022.3549;MANA:67016.4402;SUSHI:6649.7662;UNI:3408.2150,2021-03-31,2021-05-21,hildobby,Binance 10
0xd551234ae421e3bcba99a0da6d736074f22192ff,78,0,396216.29,0.00,396216.29,AAVE/COMP/DAI/MANA/SUSHI/UNI,AAVE:112.5360;COMP:216.3179;DAI:38187.3320;MANA:27825.3793;SUSHI:6441.6733;UNI:2302.8906,2021-03-31,2021-05-23,hildobby,Binance 2
0x564286362092d8e7936f0549571a803b203aaced,76,0,362893.31,0.00,362893.31,AAVE/COMP/DAI/GRT/MANA/SUSHI/UNI,AAVE:189.7300;COMP:127.2115;DAI:8461.6843;GRT:5101.1905;MANA:58998.2805;SUSHI:4227.7718;UNI:2747.4448,2021-03-31,2021-05-24,hildobby,Binance 3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,75,0,359100.18,0.00,359100.18,AAVE/COMP/DAI/MANA/SUSHI/UNI,AAVE:214.4239;COMP:131.5421;DAI:19544.0692;MANA:38679.8626;SUSHI:8667.5582;UNI:927.7709,2021-03-31,2021-05-23,hildobby,Binance 4
0x708396f17127c42383e3b9014072679b2f60b82f,68,0,332023.73,0.00,332023.73,AAVE/COMP/DAI/GRT/MANA/SUSHI/UNI,AAVE:231.2157;COMP:53.5520;DAI:30081.4535;GRT:4005.0000;MANA:43858.6000;SUSHI:4399.4635;UNI:2210.2545,2021-03-31,2021-05-23,hildobby,Binance 11
0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,2,0,121909.62,0.00,121909.62,USDC,USDC:121917.3223,2025-09-10,2025-11-05,deferred-above-cutoff,
0xc2ba04e89016f417e1219af7ef82a5b6a9214793,6,0,67228.69,0.00,67228.69,CHZ,CHZ:184111.3303,2021-10-16,2021-11-02,hildobby,Bidesk 14
0x99bd796babe675b410943387b2e0bf87a54296b9,6,0,54627.36,0.00,54627.36,CHZ,CHZ:161511.6419,2021-08-13,2021-10-13,hildobby,Bidesk 22
0x8bc475255e8aa74eaa97cbed8eb76bcb6a8ad7f2,3,0,36525.09,0.00,36525.09,CHZ,CHZ:115909.2917,2021-06-16,2021-10-28,hildobby,Bidesk 50
0x42d17b7f3532ec2f7c4e4e5e239baa476846e2cd,3,0,17909.29,0.00,17909.29,LINK/USDC/USDT,LINK:359.5653;USDC:5000.0000;USDT:7984.2585,2023-11-18,2024-11-10,hildobby,Kanga Exchange 1
0x818ab3c61f66e975b8e6290c20999d6749f60d8d,254,0,7494.15,0.00,7494.15,ETH,ETH:2.6699,2021-04-12,2023-10-20,internal,Zonda Deposit Funder 2
