counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,2511,0.00,24181499.79,-24181499.79,AAVE/AXS/BAT/CHZ/COMP/DAI/ENJ/ETH/FET/FORM/GLM/GNYerc20/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/OMG/PAY/PEPE/PUNDIX/QNT/REEF/REPv2/RNDR/SAND/SHIB/SKY/SNX/SUSHI/SXP/UNI/USDC/USDT/WLD/ZND/ZRX,AAVE:3002.1805;AXS:11080.9787;BAT:87292.6748;CHZ:1374367.5014;COMP:2985.1715;DAI:53384.5363;ENJ:545294.3832;ETH:0.0045;FET:367676.0936;FORM:364850004.0278;GLM:100330.2585;GNYerc20:11466005.4873;GRT:780830.0576;KNC:44932.7641;LINK:59604.5541;LPT:28044.2142;LSK:545330.3387;MANA:503972.1083;MATIC:1173029.1728;MKR:435.6280;OCEAN:150172.9931;OMG:619376.3498;PAY:12211709.1259;PEPE:94730423120.0268;PUNDIX:49611.1193;QNT:264.1330;REEF:262281372.8910;REPv2:876018.2430;RNDR:24341.0496;SAND:89434.9200;SHIB:27216304142.0700;SKY:23326.6000;SNX:26044.2491;SUSHI:177458.1426;SXP:142199.1627;UNI:18445.3720;USDC:10643750.7233;USDT:3303325.5171;WLD:106614.3533;ZND:76176571.8620;ZRX:292258.0977,2021-04-15,2026-04-02,internal,Zonda 5
0x0d0707963952f2fba59dd06f2b425ace40b492fe,961,0,6174724.98,0.00,6174724.98,AAVE/AXS/BAT/CHZ/COMP/FET/FORM/KNC/LINK/LPT/LSK/MANA/MKR/OMG/PAY/PEPE/PUNDIX/QNT/REEF/REPv2/SNX/UNI/USDC/USDT/WLD/ZND,AAVE:13.6454;AXS:995.6589;BAT:15716.6748;CHZ:72133.2617;COMP:109.5180;FET:9494.9450;FORM:160531963.3412;KNC:11630.0317;LINK:4603.1489;LPT:499.3895;LSK:57193.1009;MANA:19024.5402;MKR:14.6344;OMG:281028.2083;PAY:12211709.1259;PEPE:468781633.1800;PUNDIX:10234.8091;QNT:16.7663;REEF:30301158.0124;REPv2:487542.7720;SNX:7431.9020;UNI:788.2237;USDC:5086646.4808;USDT:24991.9000;WLD:29845.3941;ZND:47588709.2296,2023-01-27,2026-04-02,hildobby,Gate.io 1
0x28c6c06298d514db089934071355e5743bf21d60,595,0,4484860.91,0.00,4484860.91,AAVE/AXS/BAT/CHZ/COMP/DAI/ENJ/FET/GLM/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/OMG/PEPE/PUNDIX/REEF/RNDR/SAND/SHIB/SNX/SUSHI/SXP/UNI/USDC/USDT/WLD/ZRX,AAVE:1202.0426;AXS:6961.0300;BAT:39069.0000;CHZ:515895.9519;COMP:907.4744;DAI:17991.9999;ENJ:28382.1000;FET:105575.8272;GLM:17141.3000;GRT:311252.3440;KNC:8930.1300;LINK:23052.9355;LPT:8120.6096;LSK:162001.9250;MANA:187919.5390;MATIC:501307.1428;MKR:128.1917;OCEAN:65127.0800;OMG:65409.3019;PEPE:32539583901.7100;PUNDIX:17299.7402;REEF:34187350.1727;RNDR:9938.2601;SAND:44419.0000;SHIB:8323059533.9300;SNX:4281.1000;SUSHI:61173.1848;SXP:41516.8175;UNI:6150.8472;USDC:1083997.0931;USDT:475642.8875;WLD:32807.8968;ZRX:157854.2317,2021-05-14,2026-02-26,hildobby,Binance 14
0x21a31ee1afc51d94c2efccaa2092ad1028285549,507,0,4365564.23,0.00,4365564.23,AAVE/AXS/BAT/CHZ/COMP/DAI/ENJ/FET/GLM/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/OMG/PEPE/PUNDIX/QNT/REEF/RNDR/SAND/SHIB/SNX/SUSHI/SXP/UNI/USDC/USDT/WLD/ZRX,AAVE:907.0457;AXS:1351.3198;BAT:32507.0000;CHZ:528514.9852;COMP:846.0013;DAI:10004.0364;ENJ:39308.1300;FET:81115.4000;GLM:29614.9331;GRT:147058.9914;KNC:18073.6024;LINK:14402.5616;LPT:7506.3988;LSK:100536.9000;MANA:117684.5548;MATIC:327561.7312;MKR:155.2179;OCEAN:45286.9198;OMG:77390.2508;PEPE:31200412383.6400;PUNDIX:4958.0000;QNT:148.1950;REEF:29853146.9053;RNDR:11607.8295;SAND:21581.9200;SHIB:10767494851.1400;SNX:3273.2700;SUSHI:46668.5460;SXP:22388.9900;UNI:4389.3885;USDC:1440331.3318;USDT:600882.7727;WLD:10512.3373;ZRX:58833.8000,2021-05-19,2025-11-11,hildobby,Binance 15
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,542,0,4107386.59,0.00,4107386.59,AAVE/AXS/CHZ/COMP/DAI/ENJ/FET/GLM/GRT/KNC/LINK/LPT/LSK/MANA/MATIC/MKR/OCEAN/OMG/PEPE/PUNDIX/QNT/REEF/RNDR/SAND/SHIB/SNX/SUSHI/SXP/UNI/USDC/USDT/WLD/ZRX,AAVE:845.7697;AXS:1772.9700;CHZ:257823.3027;COMP:1122.1779;DAI:5428.5000;ENJ:46293.5042;FET:171489.9214;GLM:53574.0254;GRT:318288.4222;KNC:6299.0000;LINK:17545.9081;LPT:11917.8162;LSK:215105.0000;MANA:179343.4743;MATIC:254053.8750;MKR:137.5840;OCEAN:39758.9933;OMG:60807.7200;PEPE:30521645201.4200;PUNDIX:17118.5700;QNT:99.1717;REEF:28493960.6722;RNDR:2794.9600;SAND:23434.0000;SHIB:8125749757.0000;SNX:9736.8271;SUSHI:69517.7819;SXP:30355.8000;UNI:4663.5140;USDC:1081156.4874;USDT:404675.6630;WLD:20274.5689;ZRX:75570.0661,2021-06-14,2026-03-22,hildobby,Binance 16
0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,22,0,1453496.21,0.00,1453496.21,USDC,USDC:1453465.9497,2025-08-23,2026-03-06,deferred-above-cutoff,
0x3d55ccb2a943d88d39dd2e62daf767c69fd0179f,18,0,556274.77,0.00,556274.77,USDT,USDT:555845.4149,2023-12-09,2024-03-14,hildobby,OKX 23
0x5041ed759dd4afc3a72b8192c143f72f4724081a,14,0,390410.99,0.00,390410.99,USDT,USDT:390178.8157,2024-01-10,2024-03-14,hildobby,OKX 7
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,140,0,368789.40,0.00,368789.40,MATIC/REPv2/SNX,MATIC:6679.4520;REPv2:368648.4784;SNX:1321.1500,2021-12-27,2024-04-29,hildobby,OKX 1
0x68841a1806ff291314946eebd0cda8b348e73d6d,11,0,313748.15,0.00,313748.15,USDT,USDT:313377.7313,2024-01-01,2024-03-14,hildobby,OKX 26
