counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,835,0.0,4954858.22,-4954858.22,"ATRI,LSK,DAI,SNX,PEPE,PUNDIX,FET,LPT,USDT,CHZ,MANA,ENJ,GRT,SXP,WLD,MATIC,OCEAN,AAVE,ZND,REEF,KNC,UNI,GLM,COMP,ETH,OMG,QNT,USDC",,2021-04-28,2026-04-02,internal,Zonda 5
0x28c6c06298d514db089934071355e5743bf21d60,279,0,1750353.39,0.0,1750353.39,"DAI,SXP,MANA,LSK,USDC,CHZ,SNX,LPT,OMG,MATIC,WLD,UNI,USDT,FET,GLM,GRT,AAVE,REEF,COMP,KNC,QNT",,2021-08-08,2026-03-17,hildobby,Binance 14
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,237,0,1336611.26,0.0,1336611.26,"REEF,AAVE,LPT,LSK,DAI,CHZ,GRT,PUNDIX,USDT,USDC,FET,SNX,OCEAN,COMP,GLM,WLD,QNT,UNI,MATIC,KNC",,2021-06-15,2026-03-20,hildobby,Binance 16
0x21a31ee1afc51d94c2efccaa2092ad1028285549,254,0,1302840.64,0.0,1302840.64,"GRT,REEF,USDC,DAI,QNT,KNC,AAVE,FET,MANA,USDT,SNX,WLD,CHZ,MATIC,PEPE,LSK,LPT,GLM,UNI,OMG",,2021-06-15,2026-03-27,hildobby,Binance 15
0x9696f59e4d72e237be84ffd425dcad154bf96976,15,0,312918.63,0.0,312918.63,USDT,,2022-03-29,2024-03-24,hildobby,Binance 18
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,8,0,124754.21,0.0,124754.21,USDT,,2022-09-06,2024-03-05,hildobby,Binance 17
0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,3,0,39766.45,0.0,39766.45,USDC,,2025-10-06,2026-03-19,etherscan,Binance: Hot Wallet 34
0xa7512a0d9cc166ff05eb79f3a52095eab114b856,5,0,29845.28,0.0,29845.28,"MATIC,CHZ,ATRI,ENJ",,2021-06-15,2021-07-01,below-cutoff,
0x85b931a32a0725be14285b66f1a22178c672d69b,2,0,15489.56,0.0,15489.56,DAI,,2021-04-01,2021-05-28,hildobby,Binance 10
0x564286362092d8e7936f0549571a803b203aaced,1,0,15395.3,0.0,15395.3,DAI,,2021-04-28,2021-04-28,hildobby,Binance 3
0x42d17b7f3532ec2f7c4e4e5e239baa476846e2cd,3,0,13636.21,0.0,13636.21,"FET,USDT",,2024-03-24,2025-10-10,hildobby,Kanga Exchange 1
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1,0,9759.47,0.0,9759.47,DAI,,2021-03-31,2021-03-31,hildobby,Binance 1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,1,0,9586.92,0.0,9586.92,DAI,,2021-04-01,2021-04-01,hildobby,Binance 4
0x0d0707963952f2fba59dd06f2b425ace40b492fe,392,0,7483.05,0.0,7483.05,"USDC,ZND",,2025-03-08,2026-04-02,hildobby,Gate.io 1
0xb8001c3ec9aa1985f6c747e25c28324e4a361ec1,2,0,4984.2,0.0,4984.2,CHZ,,2023-11-20,2024-03-21,hildobby,Cobo 6
0xc2ba04e89016f417e1219af7ef82a5b6a9214793,1,0,3975.82,0.0,3975.82,CHZ,,2021-10-29,2021-10-29,hildobby,Bidesk 14
0x818ab3c61f66e975b8e6290c20999d6749f60d8d,64,0,1723.91,0.0,1723.91,ETH,,2021-04-28,2023-08-29,internal,Deposit Funder 2
0x7bd8efab672250de65ba4ba3bc6c3aa08120a1c3,1,0,1687.0,0.0,1687.0,CHZ,,2021-06-16,2021-06-16,below-cutoff,
0x708396f17127c42383e3b9014072679b2f60b82f,1,0,993.37,0.0,993.37,DAI,,2021-03-31,2021-03-31,hildobby,Binance 11
0x5bff49eec8f76c066f979a818187b9732ac69503,261,0,589.39,0.0,589.39,ETH,,2023-11-14,2026-03-30,internal,Deposit Funder 1
0x5bffc3e304072d8d89335475b5201bd32ac69503,1,0,0.01,0.0,0.01,ETH,,2026-01-14,2026-01-14,below-cutoff,
0x6edffd3c53ce226b0b16fbe960e2d69af31c5048,2,0,0.0,0.0,0.0,GRT,,2025-01-14,2025-02-05,below-cutoff,
0x9e0d5185791ba456bd4bf32968afc3d805c13adc,1,0,0.0,0.0,0.0,WL,,2026-03-27,2026-03-27,below-cutoff,
0x40f0181e48b8f81ce1a2968eb4573d15d42a3d13,1,0,0.0,0.0,0.0,UNI,,2025-11-02,2025-11-02,below-cutoff,
0xd152f549545093347a162dce210e7293f1452150,1,0,0.0,0.0,0.0,CHKN,,2024-03-16,2024-03-16,below-cutoff,
0x8c8ee12c274d2372890f3ff03e3771cf25ae4327,1,0,0.0,0.0,0.0,Visit website farmuni .org to c,,2025-11-02,2025-11-02,below-cutoff,
0x5a1195f555c487f044a777dd39938a1ea37b7aa3,1,0,0.0,0.0,0.0,UNDG,,2025-10-28,2025-10-28,below-cutoff,
0xf7cede6cb21f73ca4a502a731daf3d2e41bd44cb,1,0,0.0,0.0,0.0,Get $GLM at https://golem-netwo,,2024-04-25,2024-04-25,below-cutoff,
0xd5050910347ecaf024421bc5e8f2b2e2e12ea8cb,1,0,0.0,0.0,0.0,Get $REEF Airdrop at https://re,,2024-04-04,2024-04-04,below-cutoff,
0x2b3bf74b29f59fb8dda41cf3d6a8da28cf8e7921,1,0,0.0,0.0,0.0,ZND,,2026-03-23,2026-03-23,hildobby,BingX 20
0x82dfdb2ec1aa6003ed4acba663403d7c2127ff67,1,0,0.0,0.0,0.0,akSwap.io,,2021-09-11,2021-09-11,below-cutoff,
0x6ed0faa6fa60392119d5bef42a86bb3822b85048,0,1,0.0,0.0,0.0,USDT,,2023-02-18,2023-02-18,below-cutoff,
0x9642b23ed1e01df1092b92641051881a322f5d4e,51,0,0.0,0.0,0.0,ZND,,2025-01-20,2026-04-01,hildobby,MEXC 21
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,2,0,0.0,0.0,0.0,"Visit aaveprotocol.net to claim,Visit aavenetwork.org to claim ",,2024-01-12,2024-01-28,below-cutoff,
0x6357d3843d715496257e338a878ab0b72040a918,1,0,0.0,0.0,0.0,HEX,,2026-04-02,2026-04-02,below-cutoff,
0xd55210bb6898c021a19de1f58d27b71f095921ee,1,0,0.0,0.0,0.0,CHKN Airdrop Ticket | https://c,,2024-03-31,2024-03-31,below-cutoff,
0x5bff47025d5c87c6b51d0cccfb3de2e1e2499503,1,0,0.0,0.0,0.0,ETH,,2026-01-14,2026-01-14,below-cutoff,
0xabc029ff1649b5e764dd28a9e48b1cf716ef225f,1,0,0.0,0.0,0.0,MOGIMOGI,,2024-06-29,2024-06-29,below-cutoff,
0x967da4048cd07ab37855c090aaf366e4ce1b9f48,2,0,0.0,0.0,0.0,"Visit oceantoken.net to claim r,Visit oceangift.org to claim re",,2023-12-24,2024-01-24,below-cutoff,
0xbbcd44263236dfbf8e4705a4eb58226671d74c5e,1,0,0.0,0.0,0.0,NemoClaw,,2026-03-27,2026-03-27,below-cutoff,
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,1,0,0.0,0.0,0.0,Visit fetchnetwork.org to claim,,2024-01-24,2024-01-24,below-cutoff,
0x6d0d19bdddc5ed1dd501430c9621dd37ebd9062d,6,0,0.0,0.0,0.0,ZND,,2025-10-15,2026-03-23,hildobby,BitMart 13
0x6982508145454ce325ddbe47a25d4ec3d2311933,2,0,0.0,0.0,0.0,"Get additional $PEPE reward at ,Claim $PEPE reward at https://p",,2024-03-06,2024-03-30,below-cutoff,
