counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,720,0.00,27273920.49,-27273920.49,ETH/USDT,ETH:6842.3884;USDT:9764042.3689,2022-12-07,2026-02-23,internal,Zonda 5
0x8e96a3e70530f013f4d92f0076d833fdcaa47df4,669,0,21107660.29,0.00,21107660.29,ETH/USDT,ETH:4245.8013;USDT:9189383.8900,2024-01-08,2025-11-20,deferred-above-cutoff,
0x65cbc8aa675e7e339e374568746b6d40e87ba084,90,0,2430891.12,0.00,2430891.12,ETH/USDT,ETH:855.0883;USDT:545930.1236,2023-07-05,2025-06-23,deferred-above-cutoff,
0x74dec05e5b894b0efec69cdf6316971802a2f9a1,135,0,2348338.43,0.00,2348338.43,ETH,ETH:1382.7917,2022-09-20,2023-06-21,hildobby,Bitpanda 1
0xde7adbb368c2616df8c5c0e986933bee8f660add,26,0,897362.98,0.00,897362.98,ETH,ETH:305.8303,2025-03-20,2026-02-23,deferred-above-cutoff,
0xcc6fcfb8b3988043e382a481d6bf482d68897024,3,0,71763.96,0.00,71763.96,ETH,ETH:32.0000,2023-11-30,2024-02-07,hildobby,LMAX Digital 2
0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3,2,0,36446.92,0.00,36446.92,ETH,ETH:16.0909,2024-01-26,2024-04-18,hildobby,WhiteBIT 1
0xf0d76d3b9042e7b01e647c9c24573b7d3ff8d650,2,0,23349.70,0.00,23349.70,USDT,USDT:23358.0800,2024-10-28,2024-10-29,hildobby,Bitvavo 22
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,1,0,15039.54,0.00,15039.54,ETH,ETH:5.0000,2026-01-22,2026-01-22,hildobby,Binance 20
0xf326de08e72ecd44c6394dbd5277c65700f0716a,1,0,4062.67,0.00,4062.67,USDT,USDT:4064.0900,2024-10-18,2024-10-18,below-cutoff,
0x05304c13e2095dd370f6cdbbcaa5d573e3ebeada,1,0,1305.65,0.00,1305.65,USDT,USDT:1306.1067,2024-10-18,2024-10-18,below-cutoff,
0x5bff49eec8f76c066f979a818187b9732ac69503,196,0,479.39,0.00,479.39,ETH,ETH:0.1452,2024-03-17,2024-12-09,internal,Zonda Deposit Funder 1
0x1e22db5dd1a733d45b7b0f9e03a179e19e2eff67,1,0,20.52,0.00,20.52,ETH,ETH:0.0100,2023-11-29,2023-11-29,hildobby,LMAX Digital 4
0x6edffd3c53ce226b0b16fbe960e2d69af31c5048,14,0,0.10,0.00,0.10,ETH/USDT,ETH:0.0000;USDT:0.0787,2024-08-20,2024-09-03,below-cutoff,
0x8e9dfd1826d5586fe59395f63861026efb647df4,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2025-11-20,2025-11-20,below-cutoff,
0xd152f549545093347a162dce210e7293f1452150,1,0,0.00,0.00,0.00,HEX,HEX:1.0000,2026-03-29,2026-03-29,below-cutoff,
0xde7ae45072ca01c87f9e6067eb21376e8f660add,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2026-02-04,2026-02-04,below-cutoff,
0xd44746e7267be2eefd306c4584f3c803027341d9,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2025-09-24,2025-09-24,below-cutoff,
0x6edf2527128b94b0c93ec23123772dd4fcf95048,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2026-01-17,2026-01-17,below-cutoff,
0xde7a74d122397b5db53fb8f9c74b445c2cba0add,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2026-01-17,2026-01-17,below-cutoff,
0x8e964eb9f0d47358525bba9b5adddd5613637df4,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2025-11-20,2025-11-20,below-cutoff,
0x05bfbb31b9eb9e76621a6d2e1905b7575f660add,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2026-01-17,2026-01-17,below-cutoff,
0x6edfaf9bff031659524a0bb30230e8d67f645048,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2026-01-17,2026-01-17,below-cutoff,
0x8e96a3ed59225daebcf49550ee27056ccaa47df4,22,0,0.00,0.00,0.00,USDT/UЅDТ/ЕТН,USDT:0.0000;UЅDТ:25983.2700;ЕТН:273.1121,2024-01-08,2024-03-04,below-cutoff,
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,2,0,0.00,0.00,0.00,Visit StakeEther.net claim rewa/Visit https://apyeth.com to cla,Visit StakeEther.net claim rewa:1.7000;Visit https://apyeth.com to cla:1.4000,2023-09-23,2024-01-30,below-cutoff,
0xde7ab8dc683afa87e4b8b0c95b020cee8f660add,3,0,0.00,0.00,0.00,ETH,ETH:6.7303,2026-02-04,2026-02-17,below-cutoff,
0x65cbc8aa398ddc0f930e4fdeb5ae3871ee7ba084,2,0,0.00,0.00,0.00,ETH,ETH:20.9880,2023-07-17,2023-07-20,below-cutoff,
0x6edf53fdd7e287123f04905b2f0cdbd15ef35048,0,3,0.00,0.00,0.00,E TH,E TH:88.2643,2023-11-14,2023-11-17,below-cutoff,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2,0,0.00,0.00,0.00,Visit https://usd-coin.net to c/Visit https://usdswap.org to cl,Visit https://usd-coin.net to c:3999.9900;Visit https://usdswap.org to cl:3999.9900,2023-08-20,2023-09-04,below-cutoff,
0x3ab281cfad326e4e93c16d99ea51cb9db27fb198,1,0,0.00,0.00,0.00,Elon Air,Elon Air:2.0000,2026-01-27,2026-01-27,below-cutoff,
0x05d26df93ba55a8e9e60693291213a5a835764bb,1,0,0.00,0.00,0.00,POWER,POWER:5.0000,2026-02-25,2026-02-25,below-cutoff,
0x65cbc8a50eeaced1e0145ca430005ef6e87ba084,57,0,0.00,0.00,0.00,ETH/ЕТН,ETH:50.9265;ЕТН:591.2365,2023-07-21,2024-04-22,below-cutoff,
0x059b2051bc369a52dfa4bcbaa77388483279320c,1,0,0.00,0.00,0.00,UniLife,UniLife:5.0000,2026-01-17,2026-01-17,below-cutoff,
