counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,502,0.00,19473350.84,-19473350.84,AAVE/AXS/BAT/CHZ/COMP/ETH/FET/GRT/KNC/LINK/LPT/LSK/MANA/PEPE/QNT/SAND/SHIB/SKY/SUSHI/UNI/USDC/USDT/ZRX,AAVE:371.2845;AXS:2176.8879;BAT:89994.7376;CHZ:410851.7619;COMP:960.6808;ETH:2790.4568;FET:618.0677;GRT:349959.1266;KNC:30235.3031;LINK:7551.3398;LPT:1829.8280;LSK:29202.9577;MANA:113711.6810;PEPE:3500735246.6100;QNT:69.1613;SAND:16995.5383;SHIB:905512373.8544;SKY:2357928.6161;SUSHI:49994.7278;UNI:699.8447;USDC:11764744.3332;USDT:281266.5271;ZRX:62994.8566,2025-12-18,2026-04-10,internal,Zonda 5
0x05ff6964d21e5dae3b1010d5ae0465b3c450f381,156,0,11706485.42,0.00,11706485.42,USDC,USDC:11703150.4929,2026-01-05,2026-04-06,deferred-above-cutoff,
0xf30ba13e4b04ce5dc4d254ae5fa95477800f0eb0,221,0,6992783.48,0.00,6992783.48,ETH,ETH:2770.2874,2025-12-18,2026-04-10,deferred-above-cutoff,
0xd86a6d0f25c3126a82a8cecad2224cffcb3fa2b2,25,0,165284.43,0.00,165284.43,SKY,SKY:2357928.6161,2026-01-18,2026-04-07,deferred-above-cutoff,
0xaa8ba7d4611437141192e7ceced531bc0a133efb,5,0,157268.83,0.00,157268.83,USDT,USDT:157322.9141,2025-12-22,2026-02-19,deferred-above-cutoff,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,6,0,95656.94,0.00,95656.94,ETH/FET/USDC/USDT,ETH:4.9952;FET:618.0677;USDC:13985.1939;USDT:71045.5617,2026-01-19,2026-04-09,hildobby,Gate.io 1
0x79dd9327352bcf1dd16941899705e97b61f4decb,21,0,70937.50,0.00,70937.50,LINK,LINK:7511.4248,2026-01-16,2026-04-09,deferred-above-cutoff,
0x0262202acd9539f9f7c7b6096c6cd3e66efa1b98,1,0,52862.37,0.00,52862.37,USDT,USDT:52897.9984,2026-01-22,2026-01-22,deferred-above-cutoff,
0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,2,0,47625.72,0.00,47625.72,USDC,USDC:47608.6305,2026-02-02,2026-02-02,deferred-above-cutoff,
0x7d94077f58593f8b97c5cab56c8924e13b49946e,9,0,37974.99,0.00,37974.99,AAVE,AAVE:371.2845,2026-02-02,2026-04-03,deferred-above-cutoff,
0x28c6c06298d514db089934071355e5743bf21d60,2,0,17513.63,0.00,17513.63,ETH,ETH:8.2659,2026-03-20,2026-03-24,hildobby,Binance 14
0xc0dfdf95284da85bc74642d3fdc26c972bd47cda,1,0,15892.06,0.00,15892.06,COMP,COMP:960.6808,2026-04-07,2026-04-07,deferred-above-cutoff,
0x9494a7b8c2df8fda69cb9a5ea9776256703ba566,6,0,15495.97,0.00,15495.97,CHZ,CHZ:410851.7619,2026-03-02,2026-04-03,deferred-above-cutoff,
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,6,0,13853.74,0.00,13853.74,PEPE,PEPE:3500735246.6000,2026-02-06,2026-03-27,deferred-above-cutoff,
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,1,0,13701.26,0.00,13701.26,ETH,ETH:6.8823,2026-03-09,2026-03-09,hildobby,Binance 20
0xa79d49fc9b869aea6f1707d70d65ffb337fa5e38,2,0,9873.92,0.00,9873.92,SUSHI,SUSHI:49994.7278,2026-03-31,2026-04-01,below-cutoff,
0xfe5c1ea6027f93029e4da1b7f26898fa30ce3c62,3,0,9740.47,0.00,9740.47,MANA,MANA:113711.6810,2026-03-25,2026-04-01,below-cutoff,
0x694ce1b25d146dd1844d4186f15aae3b4437fed9,1,0,9136.32,0.00,9136.32,BAT,BAT:89994.7376,2026-04-01,2026-04-01,below-cutoff,
0xa8537a4b3f64ea5abf1e4d33ab41e351fe3ad30b,2,0,8621.59,0.00,8621.59,GRT,GRT:349959.1266,2026-03-22,2026-04-01,below-cutoff,
0x83fa932d098abd0a568bbe5fc0f42b431f73e30e,1,0,6548.85,0.00,6548.85,ZRX,ZRX:62994.8566,2026-04-01,2026-04-01,below-cutoff,
0x2cc8e4721a001f1921298bc9d894aca13630b0c6,4,0,5322.82,0.00,5322.82,SHIB,SHIB:905512373.8544,2026-03-25,2026-04-07,below-cutoff,
0x88d5c89f6356c8c9c39ed325165793cb41dd1e72,3,0,4764.44,0.00,4764.44,QNT,QNT:69.1613,2026-03-11,2026-03-29,below-cutoff,
0x2b6ccac1982097735ff982b6459e94495f7c4ad2,2,0,4383.00,0.00,4383.00,KNC,KNC:30235.3031,2026-03-30,2026-03-31,below-cutoff,
0xd11cf7701105966481b3ef46f37b6c2dd4f041d4,1,0,3763.35,0.00,3763.35,LPT,LPT:1829.8280,2026-03-31,2026-03-31,below-cutoff,
0xca4bc2199418b379400b3820ceb3c825b5552c6e,1,0,2731.73,0.00,2731.73,UNI,UNI:699.8447,2026-03-10,2026-03-10,below-cutoff,
0x040b4799b965b80d6ac2261517bd3183f630c639,2,0,2483.17,0.00,2483.17,AXS,AXS:2176.8879,2026-03-29,2026-03-30,below-cutoff,
0x852c66dda9f7ee774317803ae01f76689b8ee349,1,0,1251.81,0.00,1251.81,SAND,SAND:16995.5383,2026-03-29,2026-03-29,below-cutoff,
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1,0,363.76,0.00,363.76,LINK,LINK:39.9150,2026-03-20,2026-03-20,hildobby,Binance 16
0x5bff49eec8f76c066f979a818187b9732ac69503,101,0,94.75,0.00,94.75,ETH,ETH:0.0417,2025-12-22,2026-04-09,internal,Zonda Deposit Funder 1
0x026a60a7503281f92eba8cf2fc10d212a4bddb98,1,0,0.05,0.00,0.05,USDT,USDT:0.0529,2026-01-22,2026-01-22,below-cutoff,
0x8eb5eaddc62c07bb4b978233296b226b2a3d5048,22,0,0.05,0.00,0.05,ETH,ETH:0.0000,2026-03-06,2026-04-08,below-cutoff,
0x6ed9f78e05555c2a77b5dc35db86f942c84e5048,3,0,0.03,0.00,0.03,ETH,ETH:0.0000,2026-01-21,2026-01-21,below-cutoff,
0x69d6e3f2323b9e2b756fb740f5e1a2a450bc5048,11,0,0.02,0.00,0.02,ETH,ETH:0.0000,2026-03-07,2026-03-14,below-cutoff,
0x5bff9d62a977a2a53ab9700b285add032ac69503,1,0,0.01,0.00,0.01,ETH,ETH:0.0000,2026-01-12,2026-01-12,below-cutoff,
0x5bff93d9845e0d09b3694f17102057732ac69503,1,0,0.01,0.00,0.01,ETH,ETH:0.0000,2026-01-10,2026-01-10,below-cutoff,
0x6edfd7e0cd88149b7cbc83e946e4b084269d5048,8,5,0.01,0.00,0.01,ETH/USDC/UЅDС,ETH:0.0000;USDC:0.0096;UЅDС:431774.0887,2026-01-08,2026-02-16,below-cutoff,
0x6ed2c83bf58eb5fe2174b34c47a07d528ddc5048,3,0,0.00,0.00,0.00,ETH/USDC,ETH:0.0000;USDC:0.0037,2026-03-27,2026-03-27,below-cutoff,
0x6ed8dae6764855249495a34ff27d9dd2ff105048,73,0,0.00,0.00,0.00,ETH,ETH:0.0000,2026-01-11,2026-01-20,below-cutoff,
0xb777f23a6e43e798a4d5d3e72b0a377ed1815af8,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2026-04-08,2026-04-08,below-cutoff,
