counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x0ff24158220a14398f047a80a513617ddc4f5289,0,88,0,51116422.99,-51116422.99,ETH,ETH:53874.8541,2019-05-02,2022-01-07,internal,Zonda 3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,390,0,9453912.11,0,9453912.11,ETH,ETH:14023.6517,2019-05-03,2021-05-20,etherscan,Binance 4
0xd551234ae421e3bcba99a0da6d736074f22192ff,389,0,7994610.16,0,7994610.16,ETH,ETH:12164.4518,2019-05-03,2021-05-17,etherscan,Binance 2
0x564286362092d8e7936f0549571a803b203aaced,364,0,7907700.24,0,7907700.24,ETH,ETH:12046.4847,2019-05-03,2021-05-06,etherscan,Binance 3
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,382,0,7135620.71,0,7135620.71,ETH,ETH:12912.5042,2019-05-01,2021-05-07,etherscan,Binance
0x781229c7a798c33ec788520a6bbe12a79ed657fc,0,48,0,4652680.64,-4652680.64,ETH,ETH:2308.6145,2022-01-17,2022-08-03,internal,Zonda 2
0x708396f17127c42383e3b9014072679b2f60b82f,74,0,4060278.54,0,4060278.54,ETH,ETH:2518.3487,2021-01-11,2021-05-16,etherscan,Binance 11
0x85b931a32a0725be14285b66f1a22178c672d69b,64,0,3226491.31,0,3226491.31,ETH,ETH:2098.5172,2021-01-11,2021-05-08,etherscan,Binance 10
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,37,0,3121955.54,0,3121955.54,ETH,ETH:1259.2596,2021-06-08,2022-08-02,etherscan,Binance 17
0x28c6c06298d514db089934071355e5743bf21d60,27,0,2377956.37,0,2377956.37,ETH,ETH:899.3901,2021-05-20,2022-07-18,etherscan,Binance 14
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,26,0,2252322.34,0,2252322.34,ETH,ETH:839.5857,2021-06-10,2022-06-18,etherscan,Binance 16
0x21a31ee1afc51d94c2efccaa2092ad1028285549,28,0,2173278.77,0,2173278.77,ETH,ETH:869.4308,2021-05-19,2022-07-27,etherscan,Binance 15
0x9696f59e4d72e237be84ffd425dcad154bf96976,26,0,2032880.45,0,2032880.45,ETH,ETH:839.5114,2021-06-09,2022-07-18,etherscan,Binance 18
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,22,0,1798926.79,0,1798926.79,ETH,ETH:689.5552,2021-09-24,2022-07-18,etherscan,Binance 20
0xf646cbe3b030fb6c2569215f0117dba58badb95e,0,31,0,1372810.53,-1372810.53,ETH,ETH:6463.0204,2020-03-21,2020-08-11,internal,Zonda 1
0x8f22f2063d253846b53609231ed80fa571bc0c8f,10,0,800966.75,0,800966.75,ETH,ETH:359.7216,2021-03-01,2021-05-23,etherscan,Binance 13
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,12,0,748657.95,0,748657.95,ETH,ETH:389.6839,2021-03-01,2021-05-23,no-public-tag,
0x832f166799a407275500430b61b622f0058f15d6,2,0,235782.48,0,235782.48,ETH,ETH:150.0,2021-02-01,2021-02-15,etherscan,BTC Turk: Main Wallet
0xc55eddadeeb47fcde0b3b6f25bd47d745ba7e7fa,2,0,219083.05,0,219083.05,ETH,ETH:209.99,2021-01-04,2021-01-05,etherscan,BTC Markets 2
0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,2,0,174146.28,0,174146.28,ETH,ETH:110.0,2021-02-08,2021-02-23,no-public-tag,
0xdf4b6fb700c428476bd3c02e6fa83e110741145b,2,0,27336.41,0,27336.41,ETH,ETH:156.6598,2019-05-08,2019-09-24,etherscan,Liquid 2
0x0d0707963952f2fba59dd06f2b425ace40b492fe,1,0,11376.23,0,11376.23,ETH,ETH:59.997,2019-05-11,2019-05-11,etherscan,Gate Deposit: 0x0d0707963952f2fba59dd06f2b425ace40b492fe'>
0xf73c3c65bde10bf26c2e1763104e609a41702efe,1,0,9842.88,0,9842.88,ETH,ETH:50.0,2019-05-12,2019-05-12,below-cutoff,
0x6edf968da408a9640b8865826429a977a11c5048,0,1,0,4.51,-4.51,ETH,ETH:0.002,2026-03-18,2026-03-18,internal,Zonda 5
0x5ec2dc94a2e53727e37f253783ddff7cb907709d,1,0,0.02,0,0.02,AOA,AOA:1.0,2019-05-03,2019-05-03,below-cutoff,
0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,1,0,0,0,0,KICK,KICK:888888.0,2019-11-29,2019-11-29,below-cutoff,
0xa4eff1f24a45ae0980364557c21f1c448de1aae9,1,0,0,0,0,SLV,SLV:1.0,2019-06-12,2019-06-12,below-cutoff,
0xd1917932a7db6af687b523d5db5d7f5c2734763f,1,0,0,0,0,THBC,THBC:1.4,2019-10-22,2019-10-22,below-cutoff,
0x5717d19616fab9079cf2bfce7d94126bca3ae536,1,0,0,0,0,BRX,BRX:8.0,2020-03-17,2020-03-17,below-cutoff,
0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,1,0,0,0,0,WDT,WDT:0.0005,2019-07-17,2019-07-17,below-cutoff,
0xf245b8a1618bbac7649d977fc675b7bd99f0d876,1,0,0,0,0,STT,STT:1.0,2020-01-25,2020-01-25,below-cutoff,
0x1c7fe1483d1df56bdc57c4dd8721f342066de092,1,0,0,0,0,AFC,AFC:5.1258,2020-11-07,2020-11-07,below-cutoff,
