counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,213,0,43668293.38,-43668293.38,ETH,ETH:22860.8910,2022-08-31,2026-03-26,internal,Zonda 5
0x8fe5733445bf1217053a82636da58ece94eb31d3,63,0,13598041.01,0,13598041.01,ETH,ETH:6364.9380,2022-12-08,2024-10-15,deferred-above-cutoff,
0x6c14b8ca49b1d48b0475a4108de9b12846a03d35,35,0,6846423.74,0,6846423.74,ETH,ETH:3580.9550,2022-11-10,2024-08-01,deferred-above-cutoff,
0x53f2bfd8d2abff298edfa424de7ad10818900f1e,28,0,6001307.34,0,6001307.34,ETH,ETH:2647.9690,2022-11-10,2024-11-04,deferred-above-cutoff,
0x1202ba9d7fd8d03d74318ae86b0bea2d938d7507,22,0,4226958.7,0,4226958.7,ETH,ETH:2299.7170,2022-11-08,2024-01-03,deferred-above-cutoff,
0x8bcb94948289f911485b671161fe99a762d3e450,9,0,1538260.94,0,1538260.94,ETH,ETH:826.9770,2022-11-29,2024-11-14,deferred-above-cutoff,
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,9,0,1398607.68,0,1398607.68,ETH,ETH:1040.0000,2022-09-16,2022-11-05,hildobby,FTX 2
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,5,0,1230638.67,0,1230638.67,ETH,ETH:794.9935,2022-12-22,2023-12-16,hildobby,Kraken 4
0xbb4d1dc5c1abec4ea11166ec97e714862863ad1d,4,0,1163340.93,0,1163340.93,ETH,ETH:579.9989,2023-04-24,2024-01-26,hildobby,BTSE 1
0x7334bf0f2bb84f16a432a4e4501e9e15ee4bab7c,5,0,809584.22,0,809584.22,ETH,ETH:459.9900,2022-12-11,2024-04-13,deferred-above-cutoff,
0x9e42ae7b5e868b7d347a0b76b5c44f4f21955687,5,0,794153.58,0,794153.58,ETH,ETH:404.9910,2023-01-03,2024-03-15,deferred-above-cutoff,
0x9aa65464b4cfbe3dc2bdb3df412aee2b3de86687,2,0,581005.12,0,581005.12,ETH,ETH:415.0000,2022-11-22,2023-06-16,hildobby,Blockchain.com 6
0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,3,0,541833.63,0,541833.63,ETH,ETH:360.0000,2022-10-25,2023-04-25,hildobby,bitFlyer 2
0x079a892628ebf28d0ed8f00151cff225a093dc63,3,0,526120.84,0,526120.84,ETH,ETH:325.0000,2023-08-23,2023-10-05,hildobby,Bitvavo 19
0x66577404849d6ff79a7435456cc98b44916da7b5,4,0,511052.58,0,511052.58,ETH,ETH:420.0000,2022-12-14,2022-12-28,deferred-above-cutoff,
0x74dec05e5b894b0efec69cdf6316971802a2f9a1,1,0,448137.75,0,448137.75,ETH,ETH:229.9970,2023-04-26,2023-04-26,hildobby,Bitpanda 1
0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,2,0,402117.93,0,402117.93,ETH,ETH:264.9950,2022-09-05,2023-03-11,hildobby,KuCoin 10
0xd7efcbb86efdd9e8de014dafa5944aae36e817e4,2,0,387369.23,0,387369.23,ETH,ETH:240.0000,2022-12-30,2023-04-20,hildobby,OKX 34
0x68ed0dcde71fc3b45d7f8cb84946328b49ee1746,2,0,318217.99,0,318217.99,ETH,ETH:225.0000,2022-11-15,2023-01-20,deferred-above-cutoff,
0x65cbc8aa675e7e339e374568746b6d40e87ba084,1,0,309004.54,0,309004.54,ETH,ETH:133.4894,2024-01-30,2024-01-30,deferred-above-cutoff,
0x1522900b6dafac587d499a862861c0869be6e428,1,0,277865.41,0,277865.41,ETH,ETH:195.0000,2022-09-17,2022-09-17,hildobby,Bitstamp 2
0x264bd8291fae1d75db2c5f573b07faa6715997b5,1,0,267731.21,0,267731.21,ETH,ETH:129.9994,2023-11-16,2023-11-16,hildobby,Paxos 4
