counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,1,327,58.82,12448868.11,-12448809.29,AAVE/BAT/CHZ/ENJ/ETH/LINK/MANA/MATIC/MKR/OMG/SUSHI/UNI/USDT/ZRX,AAVE:6401.3369;BAT:60000.0000;CHZ:4517520.3169;ENJ:138882.1980;ETH:0.0280;LINK:11853.7560;MANA:806120.8270;MATIC:1724127.3160;MKR:183.9672;OMG:11099.6990;SUSHI:347309.5140;UNI:41031.1560;USDT:1697890.4500;ZRX:54974.9900,2021-04-23,2025-11-20,internal,Zonda 5
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,82,0,3137024.35,0.00,3137024.35,CHZ/ENJ/MANA/MATIC/MKR/SUSHI/USDT/ZRX,CHZ:1258398.0000;ENJ:35414.5200;MANA:340481.9200;MATIC:525928.7030;MKR:64.9544;SUSHI:104039.3070;USDT:217992.0000;ZRX:54974.9900,2021-06-08,2022-11-10,hildobby,Binance 16
0x28c6c06298d514db089934071355e5743bf21d60,88,0,3083175.07,0.00,3083175.07,AAVE/CHZ/ENJ/MANA/MATIC/MKR/SUSHI/USDT,AAVE:418.9680;CHZ:1788013.7769;ENJ:52310.7080;MANA:118551.1200;MATIC:618702.7050;MKR:78.4943;SUSHI:123155.6160;USDT:419970.0000,2021-06-07,2022-11-09,hildobby,Binance 14
0x21a31ee1afc51d94c2efccaa2092ad1028285549,69,0,2440623.59,0.00,2440623.59,AAVE/CHZ/ENJ/MANA/MATIC/MKR/SUSHI,AAVE:657.7950;CHZ:1471108.5400;ENJ:51156.9700;MANA:165940.0100;MATIC:339443.4080;MKR:40.5185;SUSHI:105192.1490,2021-05-21,2022-11-09,hildobby,Binance 15
0x4c6007e38ce164ed80ff8ff94192225fcdac68cd,42,0,1000595.62,0.00,1000595.62,UNI,UNI:38491.9600,2021-05-05,2022-06-13,hildobby,Kraken 68
0x26a78d5b6d7a7aceedd1e6ee3229b372a624d8b7,46,0,965166.31,0.00,965166.31,AAVE,AAVE:4896.3600,2021-09-09,2022-11-14,hildobby,Kraken 41
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,3,0,400136.16,0.00,400136.16,USDT,USDT:399956.4500,2022-05-04,2022-09-14,hildobby,Kraken 7
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,2,0,350744.37,0.00,350744.37,USDT,USDT:349980.0000,2022-04-04,2022-04-07,hildobby,Binance 17
0xa83b11093c858c86321fbc4c20fe82cdbd58e09e,24,0,290625.78,0.00,290625.78,MATIC,MATIC:240052.5000,2021-08-30,2022-12-30,hildobby,Kraken 14
0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,8,0,218086.31,0.00,218086.31,BAT/MANA/USDT,BAT:60000.0000;MANA:88000.0000;USDT:130000.0000,2021-07-30,2022-11-14,hildobby,Bitso 2
0x9696f59e4d72e237be84ffd425dcad154bf96976,2,0,180207.38,0.00,180207.38,USDT,USDT:179992.0000,2022-06-27,2022-09-25,hildobby,Binance 18
0xc6bed363b30df7f35b601a5547fe56cd31ec63da,5,0,100370.66,0.00,100370.66,LINK,LINK:11853.7560,2022-02-14,2022-11-09,hildobby,Kraken 8
0xd551234ae421e3bcba99a0da6d736074f22192ff,2,0,98597.88,0.00,98597.88,AAVE/UNI,AAVE:128.7610;UNI:884.4140,2021-05-03,2021-05-07,hildobby,Binance 2
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,3,0,82666.79,0.00,82666.79,MANA/UNI,MANA:21010.9270;UNI:1654.7820,2021-05-04,2021-05-24,hildobby,Binance 1
0x85b931a32a0725be14285b66f1a22178c672d69b,3,0,74312.93,0.00,74312.93,AAVE/MANA/SUSHI,AAVE:55.8210;MANA:24968.0000;SUSHI:2034.4410,2021-05-05,2021-05-20,hildobby,Binance 10
0x708396f17127c42383e3b9014072679b2f60b82f,1,0,60621.56,0.00,60621.56,AAVE,AAVE:116.7590,2021-05-16,2021-05-16,hildobby,Binance 11
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,1,0,57825.81,0.00,57825.81,AAVE,AAVE:126.8729,2021-05-06,2021-05-06,hildobby,Binance 4
0x564286362092d8e7936f0549571a803b203aaced,2,0,33302.92,0.00,33302.92,MANA/SUSHI,MANA:14981.0000;SUSHI:1447.5010,2021-04-23,2021-05-25,hildobby,Binance 3
0xe9f7ecae3a53d2a67105292894676b00d1fab785,2,0,13633.04,0.00,13633.04,OMG,OMG:11099.6990,2022-11-09,2022-12-27,hildobby,Kraken Hot Wallet
0x8a108e4761386c94b8d2f98a5ffe13e472cfe76a,3,0,13023.06,0.00,13023.06,SUSHI,SUSHI:11440.5000,2022-12-10,2022-12-15,hildobby,Kraken 42
0xe1498a9ef5c6aa51790a642f70c31238326b1724,1,0,12514.52,0.00,12514.52,MANA,MANA:32187.8500,2022-11-25,2022-11-25,hildobby,Kraken 71
0x818ab3c61f66e975b8e6290c20999d6749f60d8d,117,0,3487.41,0.00,3487.41,ETH,ETH:1.0900,2021-04-23,2022-11-13,internal,Zonda Deposit Funder 2
0x6edef88d161e6b6633a3d648a3c1c99afecc5048,0,1,0.00,0.00,0.00,MATIC,MATIC:0.0000,2022-11-28,2022-11-28,below-cutoff,
0x34278f6f40079eae344cbac61a764bcf85afc949,1,0,0.00,0.00,0.00,FF9.io,FF9.io:300000.0000,2021-09-17,2021-09-17,below-cutoff,
0x82dfdb2ec1aa6003ed4acba663403d7c2127ff67,1,0,0.00,0.00,0.00,akSwap.io,akSwap.io:250000.0000,2021-09-11,2021-09-11,below-cutoff,
