counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,524,0.00,19563746.04,-19563746.04,CHZ/ETH/FORM/GLM/MATIC/PAY/REEF/USDC/USDT,CHZ:345995.0000;ETH:0.0038;FORM:5857468.8268;GLM:66172.9721;MATIC:10000.8800;PAY:21147333.6788;REEF:69969596.9698;USDC:5467406.1778;USDT:12805039.2851,2021-11-14,2026-03-30,internal,Zonda 5
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,159,0,10728987.84,0.00,10728987.84,USDC/USDT,USDC:3031979.1277;USDT:7691068.2036,2024-02-24,2025-12-31,hildobby,Coinbase 10
0x48ec5560bfd59b95859965cce48cc244cfdf6b0c,25,0,2130900.96,0.00,2130900.96,USDC/USDT,USDC:465140.8502;USDT:1663780.5239,2024-03-21,2025-02-11,hildobby,Bitstamp 8
0x21a31ee1afc51d94c2efccaa2092ad1028285549,69,0,1470835.21,0.00,1470835.21,REEF/USDC/USDT,REEF:29358598.3632;USDC:278550.2558;USDT:882595.6422,2021-11-09,2025-04-03,hildobby,Binance 15
0x28c6c06298d514db089934071355e5743bf21d60,68,0,1297635.11,0.00,1297635.11,CHZ/REEF/USDC/USDT,CHZ:179476.0000;REEF:26294539.0789;USDC:306846.7580;USDT:681679.1589,2021-11-08,2025-02-13,hildobby,Binance 14
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,51,0,1208430.29,0.00,1208430.29,CHZ/MATIC/REEF/USDC/USDT,CHZ:166519.0000;MATIC:10000.8800;REEF:14316459.5278;USDC:203792.1462;USDT:716078.8328,2021-11-12,2025-01-01,hildobby,Binance 16
0xb6928299bb62226e6ad3c2dc22e490cdb2033b68,9,0,823074.92,0.00,823074.92,USDC,USDC:822697.7937,2025-02-12,2025-04-10,hildobby,Bitstamp 51
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,17,0,606555.32,0.00,606555.32,USDT,USDT:606242.4633,2022-09-15,2024-06-12,hildobby,Binance 17
0x9696f59e4d72e237be84ffd425dcad154bf96976,15,0,564551.64,0.00,564551.64,USDT,USDT:563594.3062,2022-04-27,2024-04-18,hildobby,Binance 18
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,185,0,363816.28,0.00,363816.28,GLM/PAY,GLM:66172.9721;PAY:19701090.0966,2022-03-24,2023-03-29,hildobby,OKX 1
0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,3,0,196028.93,0.00,196028.93,USDC,USDC:195939.6615,2025-10-14,2026-01-11,deferred-above-cutoff,
0x9642b23ed1e01df1092b92641051881a322f5d4e,3,0,112727.74,0.00,112727.74,USDC,USDC:112696.0100,2025-08-29,2025-10-12,hildobby,MEXC 21
0x42d17b7f3532ec2f7c4e4e5e239baa476846e2cd,1,0,30019.21,0.00,30019.21,USDC,USDC:29994.0000,2025-02-12,2025-02-12,hildobby,Kanga Exchange 1
0x0d0707963952f2fba59dd06f2b425ace40b492fe,30,0,19971.85,0.00,19971.85,FORM/PAY,FORM:5857468.8268;PAY:1517256.0285,2022-05-13,2023-06-19,hildobby,Gate.io 1
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,1,0,19717.19,0.00,19717.19,USDC,USDC:19769.3667,2022-12-13,2022-12-13,hildobby,Kraken 10
0x818ab3c61f66e975b8e6290c20999d6749f60d8d,50,0,1112.73,0.00,1112.73,ETH,ETH:0.4587,2021-11-14,2023-05-12,internal,Zonda Deposit Funder 2
0x5bff49eec8f76c066f979a818187b9732ac69503,169,0,380.70,0.00,380.70,ETH,ETH:0.1214,2024-02-24,2025-10-19,internal,Zonda Deposit Funder 1
0x4dd70513aa79252f4c83b9470603f62ead682bdc,1,0,6.10,0.00,6.10,ETH,ETH:0.0025,2024-09-19,2024-09-19,below-cutoff,
0x6edffd3c53ce226b0b16fbe960e2d69af31c5048,15,0,0.22,0.00,0.22,USDC/USDT,USDC:0.0627;USDT:0.1542,2024-08-29,2025-02-15,below-cutoff,
0x562639ca704870555a9733fe48047e34111c5048,3,0,0.14,0.00,0.14,USDC,USDC:0.1449,2022-12-18,2022-12-21,below-cutoff,
0x6edf2527128b94b0c93ec23123772dd4fcf95048,3,3,0.00,0.00,0.00,USDC,USDC:0.0011,2025-12-19,2026-01-11,below-cutoff,
0x6edfd7e0cd88149b7cbc83e946e4b084269d5048,2,0,0.00,0.00,0.00,USDC,USDC:0.0009,2025-12-31,2026-01-11,below-cutoff,
0x6edfb8b3d3a8a8ceaf895623c8be1c3b3c235048,1,0,0.00,0.00,0.00,USDC,USDC:0.0000,2025-12-19,2025-12-19,below-cutoff,
0x6edda249c9a3c3c28812a185e4a4d04e757c5048,0,1,0.00,0.00,0.00,USDC,USDC:0.0000,2022-12-30,2022-12-30,below-cutoff,
0x6ed3fbea919f373485cdf30941973e5e9f7c5048,0,1,0.00,0.00,0.00,USDC,USDC:0.0000,2022-12-18,2022-12-18,below-cutoff,
0x6eb9ee74064f8e7b36f6f941c0b57a74a36c5048,0,3,0.00,0.00,0.00,USDC/USDT,USDC:0.0000;USDT:0.0000,2022-12-04,2022-12-14,below-cutoff,
0x6ed0746b0d206ab919374ee51c59da5878bc5048,0,2,0.00,0.00,0.00,USDC/USDT,USDC:0.0000;USDT:0.0000,2022-12-18,2022-12-18,below-cutoff,
0x6ee9951bf99f25540caef3e2bc0c3f9ebe1c5048,3,0,0.00,0.00,0.00,USDT,USDT:0.0000,2022-12-02,2022-12-04,below-cutoff,
0x6ed616651c35f42511ac0147d6f2709c63bc5048,0,1,0.00,0.00,0.00,USDC,USDC:0.0000,2022-12-18,2022-12-18,below-cutoff,
0x6ed4cba0768797967250f333796b2427adac5048,0,1,0.00,0.00,0.00,USDT,USDT:0.0000,2022-12-31,2022-12-31,below-cutoff,
0x6ed9fdeff1c9b3258fdf084be5d80501efec5048,0,1,0.00,0.00,0.00,USDT,USDT:0.0000,2022-12-30,2022-12-30,below-cutoff,
0x6edf2de6e1f2f38e4f1b59727cd11d8a84ac5048,0,1,0.00,0.00,0.00,USDT,USDT:0.0000,2022-12-30,2022-12-30,below-cutoff,
0x6ede895829a3c7d037a0554f00df1c1cf3ec5048,0,1,0.00,0.00,0.00,USDT,USDT:0.0000,2022-12-19,2022-12-19,below-cutoff,
0x6ed41f017867bb0ecac97de66316d886ddcc5048,0,1,0.00,0.00,0.00,USDC,USDC:0.0000,2022-12-15,2022-12-15,below-cutoff,
