counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,411,0.00,13267535.36,-13267535.36,ETH,ETH:5294.9168,2022-09-15,2026-03-26,internal,Zonda 5
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,158,0,2685998.85,0.00,2685998.85,ETH,ETH:1084.9440,2022-09-15,2024-08-27,hildobby,Binance 20
0x21a31ee1afc51d94c2efccaa2092ad1028285549,154,0,2493814.60,0.00,2493814.60,ETH,ETH:974.5618,2022-09-16,2024-08-27,hildobby,Binance 15
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,128,0,2255510.01,0.00,2255510.01,ETH,ETH:871.0971,2022-09-16,2024-08-15,hildobby,Binance 16
0x9696f59e4d72e237be84ffd425dcad154bf96976,131,0,2060902.04,0.00,2060902.04,ETH,ETH:871.3303,2022-09-15,2024-08-22,hildobby,Binance 18
0x28c6c06298d514db089934071355e5743bf21d60,126,0,2010394.78,0.00,2010394.78,ETH,ETH:740.5466,2022-08-25,2024-09-04,hildobby,Binance 14
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,119,0,1752208.29,0.00,1752208.29,ETH,ETH:752.6630,2022-09-15,2024-08-09,hildobby,Binance 17
0x5bff49eec8f76c066f979a818187b9732ac69503,2,0,6.22,0.00,6.22,ETH,ETH:0.0020,2024-02-26,2024-03-20,internal,Zonda Deposit Funder 1
0x6edf98541930b9c50fd99ffead0f9d06a61c5048,6,0,0.50,0.00,0.50,ETH,ETH:0.0002,2024-02-11,2024-02-18,below-cutoff,
0x6edf96029317c62a8de0bd06ed2209dfba1c5048,1,0,0.26,0.00,0.26,ETH,ETH:0.0001,2024-02-22,2024-02-22,below-cutoff,
0x6edffd3c53ce226b0b16fbe960e2d69af31c5048,1,0,0.00,0.00,0.00,ETH,ETH:0.0000,2024-09-04,2024-09-04,below-cutoff,
0xd152f549545093347a162dce210e7293f1452150,1,0,0.00,0.00,0.00,HEX,HEX:1.0000,2026-03-29,2026-03-29,below-cutoff,
0x6db6eb7e327918fe8d2e1dab15ae102c231c5048,0,3,0.00,0.00,0.00,USDT,USDT:0.0000,2022-12-30,2023-01-02,below-cutoff,
0x6edf7d6a3d9eb2ed68388f1cd92a976068b75048,0,2,0.00,0.00,0.00,USDТ/ЕТН...,USDТ:1700000.0110;ЕТН...:7.4986,2024-08-27,2024-09-04,below-cutoff,
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,1,0,0.00,0.00,0.00,Visit LiquidEther.net to claim ,Visit LiquidEther.net to claim :1.7000,2023-12-22,2023-12-22,below-cutoff,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2,0,0.00,0.00,0.00,Visit https://usdrewards.org to/Visit https://usdswap.org to cl,Visit https://usdrewards.org to:3999.9900;Visit https://usdswap.org to cl:3999.9900,2023-08-20,2023-09-05,below-cutoff,
0x0000000000000000000000000000000000000000,1,0,0.00,0.00,0.00,https://eth2.team/,https://eth2.team/:1.0000,2022-09-22,2022-09-22,below-cutoff,
