counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,14,0,678456.9,0.0,678456.9,"USDT,ETH",,2023-10-31,2025-11-21,internal,Zonda 5
0xd388009f01bbe5e6d2cb6ba8525ca50b56308046,0,1,0.0,500662.2,-500662.2,USDT,,2024-09-18,2024-09-18,internal,Zonda 6
0x781229c7a798c33ec788520a6bbe12a79ed657fc,0,1,0.0,6641.35,-6641.35,ETH,,2026-01-15,2026-01-15,internal,Zonda 2
0x73bfc8b17296cb284b7b116e519c7b84df4e4020,0,2287,0.0,3783.04,-3783.04,ETH,,2023-11-14,2026-04-01,below-cutoff,
0x47ef949598e02b90ae2a38624f07b77c18fabb8b,0,2053,0.0,3412.82,-3412.82,ETH,,2023-11-14,2026-03-12,below-cutoff,
0xa370d3a30a125bb025501bf256eb6eab23d54c98,0,347,0.0,1394.59,-1394.59,ETH,,2023-10-31,2025-09-24,below-cutoff,
0x36f217d70c84c7362b82d8ef866cc8ffbd020fd1,0,345,0.0,918.35,-918.35,ETH,,2023-11-14,2025-09-23,below-cutoff,
0xf9d6b16bbf23cedc08846482d8cc5901b6b5d50c,0,516,0.0,782.89,-782.89,ETH,,2024-05-15,2026-04-03,below-cutoff,
0x3ef6683f2553af861f91194d23bdf8522d1f2eda,0,327,0.0,658.93,-658.93,ETH,,2023-11-14,2026-01-16,below-cutoff,
0x879882c59d9cc548d6c0e7d0238e8aa40858b54f,0,261,0.0,589.39,-589.39,ETH,,2023-11-14,2026-03-30,internal,BitBay 879882
0x253dc804ac4f46b31e376466cac26843f2c19c3c,0,15,0.0,576.53,-576.53,ETH,,2024-03-20,2024-03-20,below-cutoff,
0xaad6825c2e63363adebbb79203d45b4ed0ac1862,0,196,0.0,479.39,-479.39,ETH,,2024-03-17,2024-12-09,below-cutoff,
0x4fc05911251b5bc1dbddb4788c92c19ccf67c8d2,0,122,0.0,465.81,-465.81,ETH,,2023-10-31,2025-10-19,below-cutoff,
0x0c31084d8752b7d9a7300c29d1b28860c215e598,0,170,0.0,425.81,-425.81,ETH,,2023-10-31,2026-03-30,below-cutoff,
0xacb419fd96df782752346c10a943c701a35e5262,0,19,0.0,382.08,-382.08,ETH,,2024-03-19,2025-01-20,below-cutoff,
0xd3b1ca9dfbb4acf1669c60bd8587122144295b73,0,169,0.0,380.7,-380.7,ETH,,2024-02-24,2025-10-19,below-cutoff,
0x70a9ffd5ccd90efd82b56e55ff7dc5511c809852,0,71,0.0,304.79,-304.79,ETH,,2023-11-14,2024-03-20,below-cutoff,
