counterparty_address,n_events_in,n_events_out,gross_usd_in,gross_usd_out,net_usd,symbols,native_amounts,first_seen,last_seen,label_source,label_value
0x6edf968da408a9640b8865826429a977a11c5048,0,156,0.0,485017.92,-485017.92,"AAVE,FET,WLD,ETH,RNDR,QNT,LPT,SUSHI,PAY,REPv2,REEF,USDT,PEPE,OMG,MKR,COMP,PUNDIX,LSK,ENJ,USDC,MANA,LINK,ZND",,2022-12-02,2026-04-03,internal,Zonda 5
0x0d0707963952f2fba59dd06f2b425ace40b492fe,51,0,164315.97,0.0,164315.97,"LINK,AAVE,PAY,USDC,ZND,SUSHI,REEF,REPv2",,2024-10-15,2026-01-21,hildobby,Gate.io 1
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,14,0,67306.13,0.0,67306.13,"PUNDIX,LINK,AAVE,MANA,RNDR,USDC,MKR,USDT,LPT,PEPE",,2023-01-02,2025-11-19,hildobby,Binance 16
0x21a31ee1afc51d94c2efccaa2092ad1028285549,13,0,43040.85,0.0,43040.85,"OMG,USDC,WLD,USDT,LPT,RNDR,ETH,LSK,LINK,MKR,SUSHI,COMP",,2022-11-28,2025-11-19,hildobby,Binance 15
0x28c6c06298d514db089934071355e5743bf21d60,10,0,34295.12,0.0,34295.12,"FET,MANA,RNDR,OMG,USDC,COMP,MKR,LPT",,2024-01-06,2025-01-31,hildobby,Binance 14
0xf89d7b9c864f589bbf53a82105107622b35eaa40,5,0,25347.22,0.0,25347.22,"RNDR,MANA,USDC,OMG",,2024-06-19,2025-05-09,hildobby,Bybit 5
0x9642b23ed1e01df1092b92641051881a322f5d4e,9,0,20022.65,0.0,20022.65,"ZND,LINK,USDC,QNT",,2024-11-21,2025-10-02,hildobby,MEXC 21
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,15,0,17964.1,0.0,17964.1,"USDT,COMP",,2022-12-02,2023-10-23,hildobby,Bitfinex Hot Wallet
0x260b364fe0d3d37e6fd3cda0fa50926a06c54cea,2,0,17055.09,0.0,17055.09,USDC,,2025-08-13,2025-08-13,hildobby,Bybit 40
0xa03400e098f4421b34a3a44a1b4e571419517687,15,0,15905.29,0.0,15905.29,"REEF,USDC",,2025-05-01,2025-07-25,hildobby,HTX 52
0x48ec5560bfd59b95859965cce48cc244cfdf6b0c,9,0,15612.23,0.0,15612.23,"SUSHI,ENJ",,2024-04-19,2025-02-04,hildobby,Bitstamp 8
0x05ff6964d21e5dae3b1010d5ae0465b3c450f381,6,0,13124.85,0.0,13124.85,USDC,,2025-10-04,2025-10-24,etherscan,Kraken: Hot Wallet 4
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,5,0,12585.0,0.0,12585.0,USDC,,2025-03-14,2025-08-22,hildobby,Kraken 10
0xe7178ad747f2c12ab1f8332e61cf6e756815d5c6,7,0,10422.99,0.0,10422.99,REPv2,,2024-03-22,2025-06-18,hildobby,Kraken 28
0x7f604d597c15b2e2f60dc645844f68b1d781b752,8,0,9837.32,0.0,9837.32,ENJ,,2025-07-30,2025-10-13,hildobby,Bitstamp 60
0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,1,0,6771.94,0.0,6771.94,USDC,,2026-01-21,2026-01-21,etherscan,Binance: Hot Wallet 34
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1,0,5003.54,0.0,5003.54,USDC,,2025-04-30,2025-04-30,hildobby,Coinbase 10
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,2,0,2476.58,0.0,2476.58,"ETH,USDT",,2022-11-28,2023-01-02,hildobby,Binance 17
0xd91efec7e42f80156d1d9f660a69847188950747,1,0,1742.41,0.0,1742.41,USDC,,2025-09-23,2025-09-23,hildobby,KuCoin 26
0x5bff49eec8f76c066f979a818187b9732ac69503,102,0,81.49,0.0,81.49,ETH,,2024-03-25,2026-04-02,internal,Deposit Funder 1
